Name,Zone ID,Description,Fact,Image Filename
Insectarium,1,"Dedicated to the wonders of bugs, the insectarium is home to more than 100 insect species, including butterflies, bees, beetles, and ants.","You can encounter butterflies, dragonflies and other creatures up close and personal inside our butterfly dome.",insectarium.png
Dinoroarus,1,"Experience the wonders of prehistoric life in Dinoroarus, a walk-through exhibit with life-size animatronic dinosaurs. ","Dinoroarus takes the place of the Children's Zoo, which operated from 1969 until October 2020. The exhibit is temporary while the children's area is redeveloped.",dinosaur.png
Bird House and Garden,2,"Explore aviaries, including a walk-through aviary, where you'll find a range of birds from cranes, parrots, toucans, and owls.","In the Bird House, you'll find a Toco toucan, which is the largest toucan species.",bird-house.png
Herpetarium,2,"Visit animals living in four different biomes inside the Herpetarium, including alligators, snakes, lizards, turtles and frogs. ","The Herpetarium is home to a Malayan gharial, an endangered species. Look for the crocodilian with a very slender snout.",gharial.png
Primate House,2,"Watch monkeys, lemurs, and apes interact, eat, and play inside the Primate House. The building is home to mongoose lemurs, Allen's swamp monkeys, and more species. ","Females are dominant over males in most lemur species, including the ring-tailed lemur species you'll find in the Primate House. ",lemur.png
Flight Cage and Cypress Swamp,2,"Housed in the the historic Flight Cage, the Cypress Swamp is an immersive habitat you can enter. Inside you'll find a collection of aquatic birds, including snowy egrets, ducks and more.","The Flight Cage was built for the 1904 World's Fair, which was held in St. Louis.",flight-cage-snowy-egret.png
Sea Lion Sound,3,"Sea Lion Sound is home to both harbor seals and California sea lions. Both have whiskers and fall in the animal order of pinnipeds, meaning they are ""fin-footed"".","Sea lions can stay underwater for up to 20 minutes and can dive up to 1,000 feet deep.",sea-lion.png
Stingrays at Caribbean Cove,3,"Get to know our graceful stingrays in a warm, 17,000 gallon touch pool. Guests can purchase food to feed the stingrays.","The touch pool also contains small sharks! No need to worry - the sharks are benign and aren't dangerous to guests, just a bit shy.",stingray.png
"Duck, Geese and Swan",3,The lake inside the zoo is home to waterfowl species such as ducks and trumpeter swans.,Autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet.,swan.png
Big Cat Country,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,big-cat-country.png
